s_id,stud_name,room_no
sd,cdsv,vds
da,fds,fds
df,fsd,sdggfd
s_id,stud_name,room_no
0,NULL,101
0,NULL,102
0,NULL,103
0,NULL,104
0,NULL,105
0,NULL,106
0,NULL,107
0,NULL,108
0,NULL,109
0,NULL,110
0,NULL,111
0,NULL,112
0,NULL,113
0,NULL,114
0,NULL,115
0,NULL,116
0,NULL,117
0,NULL,118
0,NULL,119
0,NULL,120
0,NULL,201
0,NULL,202
0,NULL,203
0,NULL,204
0,NULL,205
0,NULL,206
0,NULL,207
0,NULL,208
0,NULL,209
0,NULL,210
0,NULL,211
0,NULL,212
0,NULL,213
0,NULL,214
0,NULL,215
0,NULL,216
0,NULL,217
0,NULL,218
0,NULL,219
0,NULL,220
0,NULL,301
0,NULL,302
0,NULL,303
0,NULL,304
0,NULL,305
0,NULL,306
0,NULL,307
0,NULL,308
0,NULL,309
0,NULL,310
0,NULL,311
0,NULL,312
0,NULL,313
0,NULL,314
0,NULL,315
0,NULL,316
0,NULL,317
0,NULL,318
0,NULL,319
0,NULL,320
da,cdsv,vds
